price,price_category,type,beds,baths,address,furnishing,completion_status,post_date,average_rent,building_name,year_of_completion,total_parking_spaces,total_floors,total_building_area_sqft,elevators,area_name,city,country,Latitude,Longitude,purpose,yield_pct
1900000,Medium,Apartment,2,3,"Golf Promenade 2A, Golf Promenade 2, Golf Promenade, Golf Town, DAMAC Hills, Dubai",Furnished,Ready,2024-04-15,147752,Golf Promenade 2 - A,2019,272,11,124,3,DAMAC Hills,Dubai,UAE,25.0264384,55.251228,For Sale,7.776421052631578
4200000,High,Townhouse,3,3,"The Springs 14, The Springs, Dubai",Unfurnished,Ready,2024-04-15,250094,Unknown,0,0,0,0,0,The Springs,Dubai,UAE,25.05995825,55.18239787686163,For Sale,5.9546190476190475
4000000,High,Villa,3,4,"Arabella 1, Arabella Townhouses, Mudon, Dubai",Unfurnished,Ready,2024-04-19,256166,Unknown,0,0,0,0,0,Mudon,Dubai,UAE,25.0204108,55.2679936,For Sale,6.4041500000000005
1850000,Medium,Apartment,2,1,"Collective 2.0 Tower A, Collective 2.0, Dubai Hills Estate, Dubai",Furnished,Ready,2024-04-15,137259,Collective 2.0 Tower A,2022,242,18,345,5,Dubai Hills Estate,Dubai,UAE,25.09872095,55.25394008697513,For Sale,7.419405405405405
500000,Average,Apartment,0,1,"Spring Oasis, Dubai Silicon Oasis (DSO), Dubai",Furnished,Ready,2024-04-22,44675,Spring,2010,0,26,530,0,Dubai Silicon Oasis (DSO),Dubai,UAE,25.123803,55.384144,For Sale,8.935
750000,Average,Apartment,0,1,"Oxford 212, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Furnished,Ready,2024-04-07,45488,Oxford 212,2023,222,7,310,4,Jumeirah Village Circle (JVC),Dubai,UAE,25.0559446,55.20746502861806,For Sale,6.065066666666667
2500000,Medium,Apartment,2,3,"No. 9, Dubai Marina, Dubai",Unfurnished,Ready,2024-04-05,194886,Unknown,0,0,0,0,0,Dubai Marina,Dubai,UAE,25.0786415,55.1352524,For Sale,7.795439999999999
4400000,High,Apartment,3,4,"Surf 2, Surf at Creek Beach, Dubai Creek Harbour, Dubai",Unfurnished,Ready,2024-04-06,186090,Surf at Creek Beach Building 2,2023,302,11,203,2,Dubai Creek Harbour,Dubai,UAE,25.197978,55.36037960558315,For Sale,4.229318181818182
7500000,High,Villa,4,4,"District 9, Jumeirah Park, Dubai",Unfurnished,Ready,2024-04-05,364430,Unknown,0,0,0,0,0,Jumeirah Park,Dubai,UAE,25.0469412,55.15481775751905,For Sale,4.859066666666666
450000,Average,Apartment,1,1,"Mazaya 17, Queue Point, Liwan, Dubai",Furnished,Ready,2024-04-04,41924,MAZAYA 17,2015,67,6,65,2,Liwan,Dubai,UAE,25.1101209,55.3676993,For Sale,9.316444444444445
4468146,High,Apartment,2,4,"SLS Dubai Hotel & Residences, Business Bay, Dubai",Furnished,Ready,2024-04-05,310225,SLS DUBAI,2021,818,81,2,16,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,6.943036328714415
1122000,Average,Apartment,1,1,"Concorde Tower, JLT Cluster H, Jumeirah Lake Towers (JLT), Dubai",Furnished,Ready,2024-04-02,83405,CONCORDE TOWER 1,2010,0,44,583,0,Jumeirah Lake Towers (JLT),Dubai,UAE,25.0690625,55.141165591907736,For Sale,7.433600713012478
6100000,High,Apartment,4,5,"Rimal 5, Rimal, Jumeirah Beach Residence (JBR), Dubai",Unfurnished,Ready,2024-04-02,259173,Rimal 5,2007,0,40,477,0,Jumeirah Beach Residence (JBR),Dubai,UAE,25.0778021,55.13518094856796,For Sale,4.248737704918033
2980000,High,Apartment,2,3,"Yansoon 1, Yansoon, Old Town, Downtown Dubai, Dubai",Unfurnished,Ready,2024-03-28,168166,YANSOON 1,2009,0,3,41,0,Downtown Dubai,Dubai,UAE,25.18668425,55.27470526460112,For Sale,5.643154362416107
2000000,Medium,Apartment,3,5,"Lake Point Tower, JLT Cluster N, Jumeirah Lake Towers (JLT), Dubai",Unfurnished,Ready,2024-03-25,249483,Lakepoint N2,2009,0,46,507,0,Jumeirah Lake Towers (JLT),Dubai,UAE,25.0690625,55.141165591907736,For Sale,12.47415
450000,Average,Apartment,0,1,"Al Jawhara Residences, JVT District 2, Jumeirah Village Triangle (JVT), Dubai",Unfurnished,Ready,2024-03-28,49677,AL JAWHARA TOWER,2020,575,37,688,4,Jumeirah Village Triangle (JVT),Dubai,UAE,25.045564,55.187287,For Sale,11.039333333333333
1000000,Average,Apartment,2,3,"Al Ramth 41, Al Ramth, Remraam, Dubai",Unfurnished,Ready,2024-04-15,118714,AL RAMTH 41,2011,0,6,52,0,Remraam,Dubai,UAE,25.0013542,55.24885632771925,For Sale,11.8714
1550000,Medium,Apartment,3,4,"Al Ramth 28, Al Ramth, Remraam, Dubai",Unfurnished,Ready,2024-03-20,169340,AL RAMTH 28,2011,0,8,74,0,Remraam,Dubai,UAE,25.0013542,55.24885632771925,For Sale,10.925161290322581
1299999,Average,Townhouse,3,3,"Albizia, DAMAC Hills 2 (Akoya by DAMAC), Dubai",Unfurnished,Ready,2024-03-11,98639,Unknown,0,0,0,0,0,DAMAC Hills 2 (Akoya by DAMAC),Dubai,UAE,24.982883,55.37972,For Sale,7.587621221247093
14500000,High,Villa,5,6,"Sidra 1, Sidra Villas, Dubai Hills Estate, Dubai",Furnished,Ready,2024-03-09,911011,Unknown,0,0,0,0,0,Dubai Hills Estate,Dubai,UAE,25.09872095,55.25394008697513,For Sale,6.28283448275862
1950000,Medium,Apartment,1,2,"DAMAC Heights, Dubai Marina, Dubai",Unfurnished,Ready,2024-02-26,155553,DAMAC HEIGHTS,2018,703,80,884,12,Dubai Marina,Dubai,UAE,25.0786415,55.1352524,For Sale,7.977076923076923
3400000,High,Apartment,2,3,"DAMAC Heights, Dubai Marina, Dubai",Unfurnished,Ready,2024-03-12,204437,DAMAC HEIGHTS,2018,703,80,884,12,Dubai Marina,Dubai,UAE,25.0786415,55.1352524,For Sale,6.012852941176471
2100000,Medium,Apartment,1,2,"Anwa, Dubai Maritime City, Dubai",Unfurnished,Ready,2024-02-29,103435,THE ANWA BY OMNIYAT,2021,357,49,628,6,Dubai Maritime City,Dubai,UAE,25.262151,55.26537042587559,For Sale,4.92547619047619
1100000,Average,Apartment,1,2,"Bloom Heights, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Furnished,Ready,2024-03-21,77919,Unknown,0,0,0,0,0,Jumeirah Village Circle (JVC),Dubai,UAE,25.0559446,55.20746502861806,For Sale,7.083545454545455
1950000,Medium,Apartment,0,1,"The Address Downtown Hotel (Lake Hotel), Downtown Dubai, Dubai",Furnished,Ready,2024-03-28,150831,Burj Lake Hotel - The Address DownTown,2009,884,65,2,26,Downtown Dubai,Dubai,UAE,25.18668425,55.27470526460112,For Sale,7.734923076923077
1450000,Medium,Apartment,3,4,"Al Thamam 20, Al Thamam, Remraam, Dubai",Unfurnished,Ready,2024-03-07,87024,Unknown,0,0,0,0,0,Remraam,Dubai,UAE,25.0013542,55.24885632771925,For Sale,6.001655172413793
11500000,High,Villa,4,5,"Nad Al Sheba Gardens, Nad Al Sheba 1, Nad Al Sheba, Dubai",Furnished,Ready,2024-02-21,325410,Unknown,0,0,0,0,0,Nad Al Sheba,Dubai,UAE,25.1597355,55.3436278,For Sale,2.8296521739130434
650000,Average,Apartment,1,2,"Al Thamam 30, Al Thamam, Remraam, Dubai",Unfurnished,Ready,2024-03-18,61514,AL THAMAM 30,2011,0,7,60,0,Remraam,Dubai,UAE,25.0013542,55.24885632771925,For Sale,9.463692307692307
1850000,Medium,Apartment,1,2,"Aykon City Tower B, Aykon City, Business Bay, Dubai",Unfurnished,Ready,2024-01-11,118418,AYKON CITY-TOWER B,2023,1295,55,1,13,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,6.400972972972974
1499999,Medium,Apartment,2,3,"Gardenia Livings, Arjan, Dubai",Unfurnished,Ready,2024-03-15,138887,Gardenia Livings,2023,160,6,235,4,Arjan,Dubai,UAE,25.0627549,55.2392983,For Sale,9.259139506093005
2500000,Medium,Townhouse,3,3,"Mira Oasis 1, Mira Oasis, Reem, Dubai",Unfurnished,Ready,2023-12-21,180989,Unknown,0,0,0,0,0,Reem,Dubai,UAE,25.0315993,55.275689057829474,For Sale,7.239560000000001
1100000,Average,Apartment,0,1,"Aykon City Tower B, Aykon City, Business Bay, Dubai",Furnished,Ready,2024-01-25,74494,AYKON CITY-TOWER B,2023,1295,55,1,13,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,6.772181818181819
2250000,Medium,Apartment,1,2,"UPSIDE, Business Bay, Dubai",Furnished,Ready,2024-04-22,145328,UPSIDE LIVING,2023,495,12,628,7,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,6.459022222222222
4240000,High,Apartment,4,5,"Sadaf 2, Sadaf, Jumeirah Beach Residence (JBR), Dubai",Unfurnished,Ready,2024-04-05,301154,Sadaf 2,2007,0,44,329,0,Jumeirah Beach Residence (JBR),Dubai,UAE,25.0778021,55.13518094856796,For Sale,7.102688679245284
3800000,High,Villa,4,5,"Hyati Residences, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Furnished,Ready,2023-12-02,238585,Unknown,0,0,0,0,0,Jumeirah Village Circle (JVC),Dubai,UAE,25.0559446,55.20746502861806,For Sale,6.278552631578947
799999,Average,Apartment,0,1,"Elite Business Bay Residence, Business Bay, Dubai",Furnished,Ready,2024-03-22,65749,Elite Business Bay Residence,2020,771,31,937,9,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,8.218635273294092
520000,Average,Apartment,0,1,"Miraclz Tower by Danube, Arjan, Dubai",Furnished,Ready,2023-12-02,45528,MIRACLZ TOWER,2019,604,38,810,6,Arjan,Dubai,UAE,25.0627549,55.2392983,For Sale,8.755384615384616
1080000,Average,Apartment,1,1,"Al Samar 2, Al Samar, The Greens, Dubai",Unfurnished,Ready,2024-04-22,93345,SAMAR 2,2007,0,8,104,0,The Greens,Dubai,UAE,25.09297535,55.17214781705864,For Sale,8.643055555555556
5250000,High,Apartment,3,4,"Sadaf 7, Sadaf, Jumeirah Beach Residence (JBR), Dubai",Unfurnished,Ready,2024-04-01,384437,Sadaf 7,2007,0,53,454,0,Jumeirah Beach Residence (JBR),Dubai,UAE,25.0778021,55.13518094856796,For Sale,7.322609523809525
